  无价.Priceless.2016.720p.BluRay.H264.AAC-RARBG.1.21GB,magnet:?xt=urn:btih:7edf7b487773ece9d034c50a7f7105d27773fc71  ,,
  房间.Room.2015.720p.BluRay.H264.AAC-RARBG.1.43GB,magnet:?xt=urn:btih:8499b46f9c418ac97e8e0c20811533d483a201d4  ,,
  房间.Room.2015.720p.BluRay.H264.AAC-RARBG.1.43GB,N  ,,
  粉丝.Fan.(2016).720p.WEB.HD.-.AVC.-.AAC.mp4.1.52GB,magnet:?xt=urn:btih:a6f837c52da65708ec3b8e5b7be5b90415ce2626  ,,
  The.Red.Dress.2015.1080p.HDTV.x264-REGRET.6.27GB,magnet:?xt=urn:btih:23589653fc99df03a90781fc94340758e692faaf  ,,
  绝命盗窃.Larceny.2017.720p.WEB-DL.XviD.AC3-FGT.2.1GB,magnet:?xt=urn:btih:89899646182aabdfc0b6378dbf7b3b6c484ba804  ,,
  绝命盗窃.Larceny.2017.720p.WEB-DL.XviD.AC3-FGT.2.1GB,N  ,,
  虚拟革命.Virtual.Revolution.2016.720p.BluRay.x264-JustWatch.4.37GB,magnet:?xt=urn:btih:332785c9c494ff1a32c856e23adc6073b6eace8b  ,,
  咖啡伴侣.Coffee.Mate.2016.HDRip.720p.H264.AAC-STY.mp4.974.12MB,magnet:?xt=urn:btih:c5f04614012d12702c4a24af7ffef10df7dacd17  ,,
  麻木.Numb.2015.1080p.WEBRip.DD5.1.x264-FGT.2.98GB,magnet:?xt=urn:btih:966eb242f8e1e55111f593ebcffa9289d7af48e9  ,,
  如果有荆棘.If.There.Be.Thorns.2015.720p.WEB-DL.XviD.MP3-RARBG.2.22GB,magnet:?xt=urn:btih:0f467ad6debdb77d10a03723098f50882b0f02ac  ,,
  生命中的百米.100.Meters.2016.720p.BluRay.x264-BiPOLAR rarbg .4.37GB,magnet:?xt=urn:btih:255595dcaeadeb5466ec2a00526a714e62a6810a  ,,
  埋藏的秘密.Buried.Secrets.2015.720p.HDTV.x264-REGRET.2.05GB,magnet:?xt=urn:btih:c55c6521bfdb300cfa9e18c6849e3c1e4e42772d  ,,
  一种谋杀.A.Kind.of.Murder.2016.720p.WEB-DL.x264.AC3-Moita SN .1.75GB,magnet:?xt=urn:btih:6a4944ac407eb3595d714747591e39051822b933  ,,
  Away.and.Back.2015.1080p.WEB-DL.DD5.1.H264-FGT.3.73GB,magnet:?xt=urn:btih:8141f078a7e2ebc35426450e4a1ccca1a931bda5  ,,
   一路顺风 Godspeed.2016.BluRay.720p.x264.AC3-CnSCG.3GB,magnet:?xt=urn:btih:fec3960f7595d78323f4680e6c1776c525f8bed7  ,,
  施耐德对决巴克斯.Schneider.vs.Bax.2015.720p.BluRay.x264-BiPOLAR rarbg .4.37GB,magnet:?xt=urn:btih:cee4d4dabf9df5e9bfda15268c8daebe98d0b95e  ,,
  百条大道.100.Streets.2016.720p.BluRay.H264.AAC-RARBG.1.15GB,magnet:?xt=urn:btih:440b475f6158ff8d7a910d6792483d0afc84d5d9  ,,
  ___.__.2016.HDRip.480p.H264.AAC-STY.mp4.835.37MB,magnet:?xt=urn:btih:575004f0f0aab733c54a865ad9f9656fbe9957ce  ,,
  昨日的果实.Seeds.of.Yesterday.2015.HDTV.x264-W4F.551.92MB,magnet:?xt=urn:btih:2fa881c79caf4b1fc47acf15d27516820d30b826  ,,
  珍宝大战.Precious.Cargo.2016.720p.BluRay.H264.AAC-RARBG.1.1GB,magnet:?xt=urn:btih:db2132939a1bd91fa343b27f758f49f685e6c920  ,,
  胜负未决的战斗.In.Dubious.Battle.2016.720p.WEB-DL.XviD.AC3-FGT.3.17GB,magnet:?xt=urn:btih:79de26b604148947cee3780612c7ea8ddc82dae7  ,,
  48.Hours.to.Live.2016.720p.WEB-DL.XviD.AC3-FGT.2.83GB,magnet:?xt=urn:btih:65de8a0739ea27b08e3a7953ad2714dc0bdfb818  ,,
  Infernal.2015.1080p.WEB-DL.AAC2.0.H264-FGT.3.24GB,magnet:?xt=urn:btih:9b642f689f80650770f32359d417951f4e3c4844  ,,
  屠杀公园.Carnage.Park.2016.720p.BluRay.H264.AAC-RARBG.1007.02MB,magnet:?xt=urn:btih:f552e1746705a61c6f7746be21804202f097e1ee  ,,
  亚瑟和梅林.Arthur.and.Merlin.2015.720p.WEBRip.XviD.MP3-RARBG.2.11GB,magnet:?xt=urn:btih:43f8443ce9a9f9b3a1d00350124e3356caab9970  ,,
  九条命.Nine.Lives.2016.720p.BluRay.H264.AAC-RARBG.1.06GB,magnet:?xt=urn:btih:1cabf287162fe592f331cdbfc113977275393c1e  ,,
  New.Life.2016.720p.BluRay.H264.AAC-RARBG.1.08GB,magnet:?xt=urn:btih:26e8ac2a8db0cb67e9d655a02a1cc1831a792303  ,,
  狮王之路.The.Lions.Of.Sabi.Sand.Brothers.In.Blood.2015.1080p.WEB-DL.AAC2.0.H264-FGT.3.92GB,magnet:?xt=urn:btih:948d6f5077d042e6a1979ca2f13b788faecd864b  ,,
  回溯.Backtrack.2015.720p.BluRay.H264.AAC-RARBG.1.09GB,magnet:?xt=urn:btih:f51fa8dcc4c2a17726917abdc70e04897b825c74  ,,
  平行宇宙.Parallels.2015.1080p.WEBRip.DD5.1.x264-FGT.3.25GB,magnet:?xt=urn:btih:4954d85a957ed1a63d7c6568b4e28261de2635d7  ,,
  你的声音.Sexy.Voice.2017.HDRip.720p.H264.AAC-STY.mp4.1.07GB,magnet:?xt=urn:btih:1de33292a84c829798f3541f88a46c0f07a68201  ,,
  奥德赛.The.Odyssey.2016.1080p.Bluray.x264.DTSHD.5.1.-DDR.12.13GB,magnet:?xt=urn:btih:2e0b4a65be73336cef1f4bf6d3d7d88e28428e6a  ,,
   所以……和黑粉结婚了 So.I.Married.My.Anti-fan.2016.BluRay.720p.x264.AC3-CnSCG.2.8GB,magnet:?xt=urn:btih:4a96118b214b28a9259ab3c3cdea11097ff31ef0  ,,
  另一半.The.Other.Half.2016.720p.WEB-DL.XviD.AC3-FGT.2.64GB,magnet:?xt=urn:btih:ab4e89b9961404d58e307dbe90e7f1b8f52617db  ,,
  死亡高峰.Dead.Rush.2016.720p.KOR.HDRip.H264.AAC-WHD.mp4.2.02GB,magnet:?xt=urn:btih:6e0b002488477f1c771474468837cd0f6bed5ca0  ,,
  美国印度小姐.Miss.India.America.2015.1080p.WEB-DL.DD5.1.H264-FGT.3.34GB,magnet:?xt=urn:btih:afc44c9ea017872c3726fc603d946f1a2c1c0e7b  ,,
   佩小姐的奇幻城堡 Miss.Peregrines.Home.for.Peculiar.Children.2016.BluRay.720p.x264.AC3-CnSCG.3.6GB,magnet:?xt=urn:btih:193def3f66303bcc977813373d688a805fe573cc  ,,
  Artifice.Loose.Fellowship.and.Partners.2016.1080p.WEB-DL.AAC2.0.H264-FGT.3.93GB,magnet:?xt=urn:btih:6a7e82c042f076728283e3083984eab424951a74  ,,
  第1集.\r\n                                                        ____.E01.170118.720p-NEXT.mp4.1.32GB,magnet:?xt=urn:btih:e77fec5104d8c9acd186d82d863ca42b81e0b628  ,,
  The.Windmill.Massacre.2016.720p.BluRay.x264-GUACAMOLE rarbg .3.27GB,magnet:?xt=urn:btih:257c5a119848ec194946b2d277ee31429b0dfa85  ,,
  The.Windmill.Massacre.2016.720p.BluRay.x264-GUACAMOLE rarbg .3.27GB,N  ,,
  黑暗中的恶魔.Devil.in.the.Dark.2017.720p.WEB-DL.XviD.AC3-FGT.2.99GB,magnet:?xt=urn:btih:386e89525b19f378982356337f1c609e38fec346  ,,
  邦杨和蓝牛.Bunyan.and.Babe.2017.720p.WEB-DL.XviD.AC3-FGT.2.48GB,magnet:?xt=urn:btih:8ba97837675bd366c2b8a39f1cafc0d07c36a291  ,,
  女仆日记.Journal.D.Une.Femme.De.Chambre.2015.FRENCH.1080p.BluRay.x264-HazMatt.mkv.6.56GB,magnet:?xt=urn:btih:0a3847c0931422ee68df0fe0152f6e3ec01598f5  ,,
  绝望之室.The.Disappointments.Room.2016.720p.WEB-DL.XviD.AC3-FGT.3.32GB,magnet:?xt=urn:btih:58cde24bb2235254f7095b69785b3ec06c9e7198  ,,
  自杀森林.The.Forest.2016.720p.BluRay.H264.AAC-RARBG.1.14GB,magnet:?xt=urn:btih:78511b6c6d62dc76d767b295815a7f13020205c3  ,,
  Ice.Guardians.2016.720p.WEB-DL.DD5.1.H264-FGT.3.31GB,magnet:?xt=urn:btih:50e263cdf4fc40ddfebf9168acdcb6ef059e06e0  ,,
  我们所拥有的一切.All.We.Had.2016.720p.WEB-DL.XviD.AC3-FGT.2.7GB,magnet:?xt=urn:btih:4c8d3339add3d3b31c5e9a9014f14085eb040b6e  ,,
  她.Elle.2016.720p.BluRay.DTS.x264-HDS.4.49GB,magnet:?xt=urn:btih:75be82e2c9b9c264c013605fd9d5fa4ee39885d7  ,,
  极速下载的命运.Downloaded.2013.720p.WEBRiP.XViD.AC3-LEGi0N.3.27GB,magnet:?xt=urn:btih:1f892bf286faf066c20f6686d700063fbfb9bde9  ,,
  三十一.31.2016.720p.BluRay.H264.AAC-RARBG.1.26GB,magnet:?xt=urn:btih:6d1bc462975268f72c02c9ff463cddcf8f8ab44d  ,,
  关键救援.Cut.to.the.Chase.2016.720p.WEB-DL.XviD.AC3-FGT.2.23GB,magnet:?xt=urn:btih:6d10efe31c85140bd0ef9a516e2a48b01f402251  ,,
  The.Shelter.2015.1080p.WEB-DL.AAC2.0.H264-FGT.2.5GB,magnet:?xt=urn:btih:afa357f363cd967f2efd3d83f8210d32faaec310  ,,
  维京海盗.Viking.2016.WEB-DLRip-AVC.RUS.mkv.2.66GB,magnet:?xt=urn:btih:382ad615e1bea478aadb92901a822b978af7c946  ,,
  恶魔App.Bedeviled.2016.720p.BluRay.x264-JustWatch.4.37GB,magnet:?xt=urn:btih:44a6674b88f6f108b7e0e31e8e0d9a717b5bf142  ,,
  科洛弗道10号.10.Cloverfield.Lane.2016.720p.BluRay.H264.AAC-RARBG.1.26GB,magnet:?xt=urn:btih:77fd8337167878077adac61a5bc5a29685aac203  ,,
  难以比拟：巴尼弗兰克的难以置信的旅程.Compared.to.What.The.Improbable.Journey.of.Barney.Frank.2014.1080p.WEBRip.DD5.1.x,magnet:?xt=urn:btih:47d1c0b2a9722fbd81395123b4a5c512bc4a309a  ,,
  邻家大贱谍.Keeping.Up.with.the.Joneses.2016.720p.BluRay.H264.AAC-RARBG.1.27GB,magnet:?xt=urn:btih:5cc4df10510e5eb4127109bd13b2d4c18478a442  ,,
  真命天子.Mr.Right.2015.720p.BluRay.H264.AAC-RARBG.1.17GB,magnet:?xt=urn:btih:2f714d002bd71c5ee42f40fa0300e042853c565b  ,,
  疑云密布.Under.Suspicion.2000.720p.WEB-DL.AAC2.0.H264-FGT.3.31GB,magnet:?xt=urn:btih:d7cbfbceb2f22f71d0c0afdc467076d2f2264240  ,,
  我的诗篇.The.Verse.of.Us.2015.4K.WEB-DL.x264.AAC-HQC.4.05GB,magnet:?xt=urn:btih:5351f32f4bfb43e0adfbe8d6e1c92d57238e3f3c  ,,
  千面人.The.Man.with.Thousand.Faces.2016.720p.BluRay.x264-BiPOLAR.5.47GB,magnet:?xt=urn:btih:22badeca61daa14ac97f73aa691b838520d27225  ,,
  FTA.1972.1080p.WEBRip.DD2.0.x264-monkee.10.01GB,magnet:?xt=urn:btih:f2f892e6f16ea2268801c9f66998599c873623c7  ,,
  Highway.to.Havasu.2017.720p.WEB-DL.XviD.AC3-FGT.3.19GB,magnet:?xt=urn:btih:9ad9ba40d1aba597aa7ee43f21c28bcdbbc5ff69  ,,
  Galaxy.of.Horrors.2017.720p.WEB-DL.XviD.AC3-FGT.2.97GB,magnet:?xt=urn:btih:aa40a96ae51d11d789f66a5be0b654e7435ae4d0  ,,
  冷冻灵魂.Cold.Souls.2009.1080p.WEBRip.DD2.0.x264-monkee.9.49GB,magnet:?xt=urn:btih:070b7131a482e214cddaf7540c33ab2f3ef55b9e  ,,
  加美拉.大怪兽空中决战.Gamera.Guardian.Of.The.Universe.1995.1080p.BluRay.x264-HALCYON.7.93GB,magnet:?xt=urn:btih:930980522d1cc437adb8933721938cc730247bf9  ,,
  谍海战龙.Good.Guys.Wear.Black.1978.1080p.WEBRip.DD5.1.x264-monkee.7.28GB,magnet:?xt=urn:btih:f7225f74d5b2dfe1b5a239e4385cb29741421f86  ,,
  Anna.Nicole.2013.1080p.WEB-DL.DD5.1.H264-FGT.3.13GB,magnet:?xt=urn:btih:4f96911e8a5cb708bebd0969f99e8f3a8009c97d  ,,
  毛发.Head.1968.1080p.BluRay.x264-CiNEFiLE.7.94GB,magnet:?xt=urn:btih:1629b07adc523d47f1a9686c05989ae1308d4b5e  ,,
  音乐潮人.Tapeheads.1988.1080p.WEBRip.DD2.0.x264-monkee.9.68GB,magnet:?xt=urn:btih:af920cfd6ad6ab1793e3bbe19f9db431be7d8eac  ,,
  伯特·斯特恩：原本狂人.Bert.Stern.Original.Mad.Man.2011.1080p.WEBRip.DD5.1.x264-monkee.6.37GB,magnet:?xt=urn:btih:0429768817aa866ca97a3b298a20b56d2e7c26f3  ,,
  一部有我出镜的影片.A.Film.With.Me.In.It.2008.720p.BluRay.H264.AAC-RARBG.1.06GB,magnet:?xt=urn:btih:26901346f7d6e7e1c71a305e8ff511650ad62487  ,,
  快乐德州.Happy.Texas.1999.1080p.WEBRip.DD2.0.x264-monkee.10.11GB,magnet:?xt=urn:btih:3b98bd6276e8541d8491ae5ded010087c628641d  ,,
  月光山峰.Moonshine.Mountain.1964.720p.BluRay.x264-SADPANDA rarbg .2.64GB,magnet:?xt=urn:btih:5dea4d1e953ac6b29f384c485c5b911513aa40f3  ,,
  视差.The.Parallax.View.(1974).(WEB-DL.720p).3GB,magnet:?xt=urn:btih:3fd6a99cfabd52ed85e41d1a7f5108697c2cfd83  ,,
  火爆教头.Blue.Chips.1994.720p.WEB-DL.DD5.1.H264-FGT.3.5GB,magnet:?xt=urn:btih:d6825f079be799cd02aeb217863aaca5e16d8a6f  ,,
  亲密关系.The.Evening.Star.1996.1080p.WEBRip.DD5.1.x264-monkee.10.89GB,magnet:?xt=urn:btih:bb6bb14f6ef8c96468d60c7129342701c5a89ae7  ,,
  送葬人.The.Bye.Bye.Man.2017.720p.WEB-DL.XviD.AC3-FGT.3.04GB,magnet:?xt=urn:btih:f8b75cdbc1ec53415fa3f8ece3dcda0bc47ae5ef  ,,
  哈拉猛男秀2:欧洲种马.Deuce.Bigalow.European.Gigolo.2005.1080p.WEB-DL.DD5.1.H264-FGT.3.23GB,magnet:?xt=urn:btih:7ef5e53970f1d3178d4a393efcea741ceea036d6  ,,
  郎心似铁.A.Place.in.the.Sun.1951.1080p.WEBRip.DD5.1.x264-SbR.11.27GB,magnet:?xt=urn:btih:37075071eff3143b50e04a4a7429130c704b4148  ,,
  可怕的人.The.Gruesome.Twosome.1967.720p.BluRay.x264-SADPANDA rarbg .2.64GB,magnet:?xt=urn:btih:3c256f52715df31ea088736b71ab818c9b7d9e8e  ,,
  The.Magnetic.Monster.1953.720p.BluRay.x264-SADPANDA rarbg .2.64GB,magnet:?xt=urn:btih:6624e520354a1f5ead3f731fd45a14f18c71ee01  ,,
  研究院.The.Institute.2017.720p.BluRay.H264.AAC-RARBG.1.2GB,magnet:?xt=urn:btih:a25121ab3dae959138fd11fe1c50a4d3b76e2401  ,,
  完美生物.Perfect.Creature.2006.1080p.Bluray.x264-hV.7.94GB,magnet:?xt=urn:btih:321fa207baf98efe45dba14dec2d2a512683737b  ,,
  The.Earth.Dies.Screaming.1964.720p.BluRay.x264-SADPANDA rarbg .2.18GB,magnet:?xt=urn:btih:d716c8ca05b14ab0e598cde9fdb7bdfaad18f95f  ,,
  一万天.10000.Days.2014.1080p.WEBRip.DD5.1.x264-FGT.3.99GB,magnet:?xt=urn:btih:56a5e778ebf396353fc0bdf7f75a1aa977062f09  ,,
  信天翁.Albatross.2011.720p.WEB.h264-WaLMaRT rarbg .1.42GB,magnet:?xt=urn:btih:a951097498e2d52e27bd4050b50d7a7d528d5cd2  ,,
  加美拉2.雷基欧袭来.Gamera.II.Attack.Of.The.Legion.1996.1080p.BluRay.x264-HALCYON.7.94GB,magnet:?xt=urn:btih:a87fa729ac34917810e4d5029861ead5d58f22d0  ,,
  死亡游戏.Game.of.Death.2010.720p.BluRay.H264.AAC-RARBG.1.18GB,magnet:?xt=urn:btih:0dd5a065e215f4a622e3f36474adfda0c717285a  ,,
  垂死之心.Dead.Heat.2002.1080p.WEBRip.DD2.0.x264-monkee.10.04GB,magnet:?xt=urn:btih:11025537274af6ed7f44fede58ebf953c6184e71  ,,
  复仇女神.Black.Fury.1935.1080p.WEBRip.DD2.0.x264-SbR.9.23GB,magnet:?xt=urn:btih:54a4597d6d4819743e6f44ace52d01705f0e87cb  ,,
  一千零一夜.Arabian.Nights.1974.CC.BluRay.720p.DTS.x264-beAst.7.59GB,magnet:?xt=urn:btih:cffe25f6ab65f1368a3b7df755868fb1aa8941f4  ,,
  决不撤退！.Retreat.Hell.1952.720p.BluRay.x264-SADPANDA rarbg .3.27GB,magnet:?xt=urn:btih:bb70993ceba878282a33326363f6d7af46fcb4b6  ,,
  疯狂寻乐.Amuck.1972.1080p.BluRay.x264.DTS-FGT.9.16GB,magnet:?xt=urn:btih:6de02f234d8ceb7a91b0e5af4c7e3ebea04c61b5  ,,
  Slam.Dunk.Ernest.1995.720p.WEBRip.x264-iNTENSO.2.16GB,magnet:?xt=urn:btih:04293c680209f89c59482c6cd02f88f1fe84bf88  ,,
  24小时：救赎.24.Redemption.2008.EXTENDED.1080p.WEB-DL.DD5.1.H264-FGT.3.95GB,magnet:?xt=urn:btih:b489b9228f3fa03eb6830246ab5f1267086fb2e5  ,,
   www.HD.gg 蠢蛋搞怪秀3DJackass.3D.2011.BluRay.iPad.720p.AAC.x264-CHDPAD.1.5GB,magnet:?xt=urn:btih:ecb2a1f03b6277c39a675b5a68b56a46eb1b6345  ,,
  Blazin.2011.720p.BluRay.x264-NOSCREENS rarbg .4.37GB,magnet:?xt=urn:btih:be345cdf6c7aee9da30912b83b9d3a69ebd8c59f  ,,
  李察刘海的经历与目的：新西兰.Adventures.With.Purpose.Egypt.2008.1080p.BluRay.x264-THUGLiNE.4.37GB,magnet:?xt=urn:btih:a26fd3c9e29954dbceccc1dbb768c3f16347cf23  ,,
  蓝海深处.A.Deeper.Shade.of.Blue.2011.1080p.WEBRip.DD2.0.x264-monkee.7.79GB,magnet:?xt=urn:btih:8860641e815b5186d5e33c1046c08f59039ada9e  ,,
  黑与白.Black.and.White.1999.720p.WEB-DL.AAC2.0.H264-FGT.2.84GB,magnet:?xt=urn:btih:e2998393cc739f7fc095bca5669803972477accf  ,,
  霍比特人.The.Hobbit.1977.1080p.WEB-DL.AAC2.0.H264-ehMD.2.46GB,magnet:?xt=urn:btih:c13df7858b3a2ae25661700994806bd878162b30  ,,
  战略空军.Strategic.Air.Command.1955.720p.BluRay.x264-SADPANDA rarbg .4.36GB,magnet:?xt=urn:btih:3f451b7334de1f88c4006057010fc81002f0c38c  ,,
  曼哈顿女佣.Maid.In.Manhattan.2002.720p.BluRay.H264.AAC-RARBG.1.27GB,magnet:?xt=urn:btih:8d414cda549744994e7f8f488ea7cf3e70d93e24  ,,
  女谍玉娇龙.Modesty.Blaise.1966.720p.BluRay.x264-SADPANDA rarbg .4.36GB,magnet:?xt=urn:btih:b977df013b1f7a64a9811716f217008558c56ce3  ,,
  噪音.Noise.aka.Enough.Is.Enough.2007.1080p.BluRay.x264-PFa.6.55GB,magnet:?xt=urn:btih:39e8a9f995994e12c62264fb44d706a54cacc124  ,,
  血之味.A.Taste.of.Blood.1967.OAR.720p.BluRay.x264-SADPANDA rarbg .4.36GB,magnet:?xt=urn:btih:859ea13143a24293e621b9991f452774fb574d9b  ,,
  无条件的爱.Unconditional.2012.720p.WEB.h264-WaLMaRT rarbg .1.54GB,magnet:?xt=urn:btih:3b03a5a792e266944ce2164d240ec58ad693ec6a  ,,
  杰克去划船.Jack.Goes.Boating.2010.720p.BluRay.H264.AAC-RARBG.1.1GB,magnet:?xt=urn:btih:7828ad4abd136965c93f6b4e825c8abc7333ca04  ,,
  Finders.Keepers.1984.720p.BluRay.x264-SADPANDA rarbg .3.27GB,magnet:?xt=urn:btih:a5a2cfc3c3d6414ce0a4a4c3f1e98f6f64626568  ,,
  心声泪影.Johnny.Belinda.1948.1080p.WEBRip.DD1.0.x264-SbR.7.28GB,magnet:?xt=urn:btih:157a9cccf09ece7b2dbaaf4b2a9ccb601dbad166  ,,
  拯救.Salvage.2009.720p.BluRay.H264.AAC-RARBG.975.67MB,magnet:?xt=urn:btih:98720cc5a89a00aed984a7f5350fe3f6b0045189  ,,
  逃脱者.The.One.That.Got.Away.1957.1080p.BluRay.x264-PSV.7.94GB,magnet:?xt=urn:btih:fe9a09bb759589667c1ed0df7467653d84380835  ,,
  万人斩.1980.简繁中字£CMCT__.3.01GB,magnet:?xt=urn:btih:184c5b322bec642a6c6440eb71c725a9fee88797  ,,
  鳄鱼变.The.Alligator.People.1959.720p.BluRay.x264-GHOULS PRiME .3.29GB,magnet:?xt=urn:btih:e81796d355dae8d92bd5e2d1839f31c33eee51ce  ,,
  十二.Twelve.2010.1080p.BluRay.x264.DTS-FGT.6.56GB,magnet:?xt=urn:btih:3d56de186b3cca9cb68e7944850d070056d6e3b5  ,,
   2011.08.27 最终幻想VII：圣子降临(完全版) 2005年日本科幻冒险(MKV) （帝国出品）.3GB,magnet:?xt=urn:btih:c3d39dcc90ba7e958947c958bcd0e1eff0bcc6ef  ,,
  喜剧之王.The.Original.Kings.of.Comedy.2000.720p.WEBRip.AAC2.0.x264-monkee.2.43GB,magnet:?xt=urn:btih:0cf3befc7dd0b6edd22341bc5b585172ccd96816  ,,
  黑暗乡村.Dark.Country.2009.720p.BluRay.H264.AAC-RARBG.1.07GB,magnet:?xt=urn:btih:a3b51c74cc3a456cd09e4b25378ce1119094ddf0  ,,
  私恋失调.2002.中英字幕£CMCT呆呆.3GB,magnet:?xt=urn:btih:6b7c93c9272094e5fba5944a1af127ab87178cf5  ,,
  好人.Good.2008.720p.BluRay.H264.AAC-RARBG.1.16GB,magnet:?xt=urn:btih:cf7092a801e4908f24886b4dcdbcf4c22aca2b14  ,,
  欲望号街车.1951.国英双语.中英字幕£CMCT玄子.3.74GB,magnet:?xt=urn:btih:f3a5efc716a11e09b20290d6e40ae72bde5ec149  ,,
  死而复生.The.Resurrected.1991.720p.BluRay.H264.AAC-RARBG.1.28GB,magnet:?xt=urn:btih:88933b768265b840e7466d49b9e458f9c6afa0f1  ,,
  坟墓舞者.The.Gravedancers.2006.720p.BluRay.H264.AAC-RARBG.1.16GB,magnet:?xt=urn:btih:0e4ea1eea21fe7988c04ed389194db8d73263b86  ,,
  落跑新娘.Runaway.Bride.1999.iNTERNAL.720p.BluRay.x264-LiBRARiANS.4.85GB,magnet:?xt=urn:btih:907077d75e2d33217618c41dda3bda8429d49c34  ,,
  乡谣情缘.Country.Strong.2010.720p.BluRay.H264.AAC-RARBG.1.42GB,magnet:?xt=urn:btih:26fcf74dcaf38e6f9fa66efe3c6e24f5fb44a430  ,,
  我心狂野.Wild.At.Heart.1990.720p.BluRay.H264.AAC-RARBG.1.51GB,magnet:?xt=urn:btih:315b2d6badd322a0f84d72c5e340292da4bdbc74  ,,
  美国警官.U.S.Marshals.1998.720p.BluRay.H264.AAC-RARBG.1.59GB,magnet:?xt=urn:btih:b4c4e507594599903fc2509368b76957d371e724  ,,
  越空追击.Barb-Wire.1996.1080p.BluRay.x264-HALCYON.6.55GB,magnet:?xt=urn:btih:db989173dcf289acda7014d61ec9dc31068a3b0e  ,,
  巴里·穆迪.Barry.Munday.2010.720p.BluRay.H264.AAC-RARBG.1.15GB,magnet:?xt=urn:btih:2873202eca5eacc9302a2d6d3acc0fc00a679f80  ,,
  生死一瞬间.Frame.of.Mind.2009.1080p.BluRay.x264-WAVEY.7.93GB,magnet:?xt=urn:btih:7ca97a527a6ef1f6b875488806bcfa1790c7674e  ,,
  Shadow.2009.UNCUT.1080p.BluRay.x264-KaKa.6.56GB,magnet:?xt=urn:btih:acfabafcb5bd07eb1cf94107c15dabd22739506e  ,,
  金屋泪.Room.at.the.Top.1959.720p.WEBRip.AAC2.0.x264-FGT.2.63GB,magnet:?xt=urn:btih:c8ed594eba82d3bc8624aa0f6ca52dc529e22b07  ,,
  数到零.Countdown.to.Zero.2010.BluRay.720p.DTS.x264-CHD.4.39GB,magnet:?xt=urn:btih:2cd768c66637a4c2a2bdd96f7d00db8e942ebcd0  ,,
  家庭纷争.Tyler.Perrys.The.Family.That.Preys.2008.1080p.BluRay.x264-PELLUCiD.7.94GB,magnet:?xt=urn:btih:ea9a4180ebd20dc5cfbb609761fc91448f971825  ,,
  生死之旅.Travellers.2011.1080p.BluRay.x264-MELiTE.6.56GB,magnet:?xt=urn:btih:9d06124c9dcc9eaea72d8c2a4c0fd88ecb2f8661  ,,
  虎猛警师.The.Substitute.1996.1080p.BluRay.x264.DD5.1-FGT.6.8GB,magnet:?xt=urn:btih:ad5411e425f0cd77ca0d8bb7fcfd477438b7c438  ,,
  冷血猛兽.Beauty.And.The.Beast.2005.720p.BluRay.x264-HALCYON.4.37GB,magnet:?xt=urn:btih:cf32c9f1eb86c718c74fcf4d183f065eac13510c  ,,
  第五指令.The.Fifth.Commandment.2008.720p.BluRay.H264.AAC-RARBG.1.09GB,magnet:?xt=urn:btih:de44b6ed988b2698ac15467f1adb586adaf50764  ,,
  悬崖上的野餐.1975.中英字幕£CMCT__.3.21GB,magnet:?xt=urn:btih:1c70bb507b4efe7b2901370cf0ccffd31433d6e9  ,,
  孩子们都很好.The.Kids.Are.All.Right.2010.720p.BluRay.H264.AAC-RARBG.1.29GB,magnet:?xt=urn:btih:5b0a4701c7280bb58e2335da85fa53f85e907c75  ,,
  枪.Gun.2010.720p.BluRay.H264.AAC-RARBG.1015.97MB,magnet:?xt=urn:btih:8e082b0299570e5353ae2cd608ae5f8cf3a6a98c  ,,
  飞出个未来大电影4：绿色狂想.Futurama.Into.The.Wild.Green.Yonder.2009.1080p.BluRay.x264-CLASSiC.4.36GB,magnet:?xt=urn:btih:0d754162c65945f72bb2526a8526899cc0b39905  ,,
  牛仔裤的夏天2.The.Sisterhood.of.the.Traveling.Pants.2.2008.BluRay.720P.AC3.x264-CHD.4.4GB,magnet:?xt=urn:btih:4781259847c164c9201d2f19d39801f930b92089  ,,
  保险套惹的祸.Booty.Call.1997.1080p.WEB-DL.DD5.1.H264-FGT.3.14GB,magnet:?xt=urn:btih:61a399faba95826db096e6468915852908a09db5  ,,
  发胶.2007.国英双语.中英字幕£CMCT无影.3.3GB,magnet:?xt=urn:btih:2612edd3d7a6e3498b7670c82a59f1c742d2f208  ,,
  最美丽的妻子.The.Most.Beautiful.Wife.1970.720p.BluRay.x264-SADPANDA rarbg .4.36GB,magnet:?xt=urn:btih:6ea5c5f9e8b51a1b9c3b174b764fd8650f4a515b  ,,
  邪恶幼灵.Wicked.Little.Things.2006.720p.BluRay.H264.AAC-RARBG.1.14GB,magnet:?xt=urn:btih:078b28612a4d169829e8d8b1306f8c582a0e538d  ,,
  老友有钱.Friends.With.Money.2006.1080p.WEBRip.DD5.1.x264-monkee.5.71GB,magnet:?xt=urn:btih:d2cdcc53d3bc4893449262e6fdb222d95380d3e0  ,,
  恶灵之夜.Night.of.the.Demons.2010.720p.BluRay.H264.AAC-RARBG.1.08GB,magnet:?xt=urn:btih:b07b14904dc26d22d489d0bf897a8983445cc038  ,,
